observation_date,group_id,location_direction_id,direction,observed_hours,bicycles_per_observed_hour,counter_site,longitude,latitude,bike_share_stations_1km,bike_share_trip_ends_1km,cyclist_ksi_collisions_1km,cycling_network_km_1km,neighbourhood_id,neighbourhood_population,neighbourhood_low_income_pct,neighbourhood_improvement_area,day_of_week
2024-06-08,7563f73ef205,16,Eastbound,24.0,0.5,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-09,7563f73ef205,16,Eastbound,24.0,0.666667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-10,7563f73ef205,16,Eastbound,24.0,0.416667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,0
2024-06-11,7563f73ef205,16,Eastbound,24.0,0.541667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,1
2024-06-12,7563f73ef205,16,Eastbound,24.0,0.666667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,2
2024-06-13,7563f73ef205,16,Eastbound,24.0,0.416667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,3
2024-06-14,7563f73ef205,16,Eastbound,24.0,0.666667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,4
2024-06-15,7563f73ef205,16,Eastbound,24.0,0.666667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-16,7563f73ef205,16,Eastbound,24.0,0.916667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-17,7563f73ef205,16,Eastbound,24.0,0.791667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,0
2024-06-18,7563f73ef205,16,Eastbound,24.0,1.166667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,1
2024-06-19,7563f73ef205,16,Eastbound,24.0,0.625,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,2
2024-06-20,7563f73ef205,16,Eastbound,24.0,0.583333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,3
2024-06-21,7563f73ef205,16,Eastbound,24.0,0.541667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,4
2024-06-22,7563f73ef205,16,Eastbound,24.0,0.25,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-23,7563f73ef205,16,Eastbound,24.0,0.666667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-24,7563f73ef205,16,Eastbound,24.0,0.958333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,0
2024-06-25,7563f73ef205,16,Eastbound,24.0,0.916667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,1
2024-06-26,7563f73ef205,16,Eastbound,24.0,0.333333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,2
2024-06-27,7563f73ef205,16,Eastbound,24.0,1.166667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,3
2024-06-28,7563f73ef205,16,Eastbound,24.0,0.791667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,4
2024-06-29,7563f73ef205,16,Eastbound,24.0,0.583333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-30,7563f73ef205,16,Eastbound,24.0,0.75,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-01,7563f73ef205,17,Westbound,24.0,1.125,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-02,7563f73ef205,17,Westbound,24.0,0.625,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-03,7563f73ef205,17,Westbound,24.0,0.791667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,0
2024-06-04,7563f73ef205,17,Westbound,24.0,0.875,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,1
2024-06-05,7563f73ef205,17,Westbound,24.0,0.833333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,2
2024-06-06,7563f73ef205,17,Westbound,24.0,0.75,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,3
2024-06-07,7563f73ef205,17,Westbound,24.0,1.208333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,4
2024-06-08,7563f73ef205,17,Westbound,24.0,0.75,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-09,7563f73ef205,17,Westbound,24.0,0.875,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-10,7563f73ef205,17,Westbound,24.0,0.416667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,0
2024-06-11,7563f73ef205,17,Westbound,24.0,0.916667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,1
2024-06-12,7563f73ef205,17,Westbound,24.0,1.041667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,2
2024-06-13,7563f73ef205,17,Westbound,24.0,0.5,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,3
2024-06-14,7563f73ef205,17,Westbound,24.0,1.25,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,4
2024-06-15,7563f73ef205,17,Westbound,24.0,0.958333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-16,7563f73ef205,17,Westbound,24.0,0.958333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-17,7563f73ef205,17,Westbound,24.0,0.833333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,0
2024-06-18,7563f73ef205,17,Westbound,24.0,1.375,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,1
2024-06-19,7563f73ef205,17,Westbound,24.0,1.125,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,2
2024-06-20,7563f73ef205,17,Westbound,24.0,0.666667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,3
2024-06-21,7563f73ef205,17,Westbound,24.0,0.458333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,4
2024-06-22,7563f73ef205,17,Westbound,24.0,0.625,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-23,7563f73ef205,17,Westbound,24.0,0.625,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-24,7563f73ef205,17,Westbound,24.0,1.041667,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,0
